# frame  avg_angle  std_angle  avg_tilt  std_tilt
fcp_60330.pdb        33.73 0.50 25.47 11.62
fcp_26365.pdb        31.04 0.25 22.03 10.38
fcp_29056.pdb        29.54 9.87 26.33 8.97
fcp_31619.pdb        30.49 3.95 26.15 11.73
fcp_36176.pdb        30.10 13.80 27.47 7.96
fcp_19195.pdb        35.62 16.51 29.59 8.40
fcp_39245.pdb        38.85 14.48 29.52 10.28
fcp_37268.pdb        51.26 21.69 35.67 17.00
fcp_46491.pdb        31.62 17.03 29.76 7.80
fcp_58877.pdb        30.74 8.86 26.65 9.28
fcp_9932.pdb         29.74 14.25 26.46 6.17
fcp_20714.pdb        28.84 8.64 26.56 10.23
fcp_47957.pdb        30.29 7.79 26.43 10.00
fcp_56682.pdb        29.19 8.60 26.01 9.04
fcp_30507.pdb        30.87 9.23 27.11 8.91
fcp_28348.pdb        37.00 16.22 30.16 9.92
fcp_15977.pdb        31.09 7.01 24.57 8.95
fcp_2867.pdb         31.16 12.26 27.51 7.77
fcp_53922.pdb        32.92 9.90 26.22 9.98
fcp_62527.pdb        36.23 15.78 29.61 9.08
fcp_24572.pdb        31.04 4.26 26.70 12.24
fcp_65248.pdb        62.75 28.12 39.66 23.76
fcp_45198.pdb        29.05 1.60 24.89 12.32
fcp_34761.pdb        30.49 7.51 26.09 9.80
fcp_64156.pdb        31.69 4.14 25.69 10.86
fcp_22103.pdb        42.26 12.14 29.01 13.64
fcp_44286.pdb        28.62 4.09 24.17 10.37
fcp_32310.pdb        66.16 32.51 41.11 25.76
fcp_54095.pdb        33.88 9.85 27.72 11.57
fcp_63639.pdb        38.72 14.00 28.36 10.92
fcp_32476.pdb        30.59 5.78 26.00 10.55
fcp_45826.pdb        39.76 21.41 32.02 10.70
fcp_64630.pdb        53.75 21.17 34.83 18.82
fcp_22665.pdb        41.69 11.62 28.85 12.74
fcp_35319.pdb        29.73 10.83 26.80 8.46
fcp_52382.pdb        30.35 6.10 26.41 10.89
fcp_34007.pdb        40.51 13.48 28.14 11.21
fcp_42191.pdb        33.40 14.25 28.56 6.22
fcp_33768.pdb        28.84 9.33 25.56 8.44
fcp_62241.pdb        50.37 20.48 33.59 16.44
fcp_24214.pdb        52.84 21.31 34.73 18.07
fcp_61748.pdb        29.80 9.21 25.83 8.60
fcp_30261.pdb        45.55 18.77 32.60 13.03
fcp_41498.pdb        31.30 14.47 28.60 6.92
fcp_8392.pdb         48.41 22.51 33.27 13.60
fcp_66027.pdb        36.35 11.08 27.61 11.32
fcp_20072.pdb        38.90 13.38 28.43 11.79
fcp_36610.pdb        32.29 12.69 27.29 9.23
fcp_61990.pdb        36.51 15.15 28.74 10.08
fcp_50595.pdb        54.34 22.01 34.97 19.20
fcp_39523.pdb        46.00 16.66 32.21 13.68
fcp_60456.pdb        32.96 0.70 24.72 12.15
fcp_26403.pdb        29.94 1.05 22.29 12.58
fcp_17806.pdb        48.76 21.01 33.00 14.45
fcp_29730.pdb        32.35 14.13 28.63 7.61
fcp_51853.pdb        28.64 5.61 25.22 10.17
fcp_40786.pdb        29.63 3.99 24.16 10.51
